group	subgroup	cong	location	vacant	founded	building1st	whenorganized	year1n	memb1	year2n	memb2	year3n	memb3	year4n	memb4	year5n	memb5	year6n	memb6	year7n	memb7	year8n	memb8	year9	gps1	gps2	casenum	organizationdate	memborganize	parentchurch	year1	year2	year3	year4	year5	year6	year7	year8
Breth	COB	Calvary	Frederick		1894			1958	184	1975	238	2002	220	2018	215										39.148532	-78.160516	32	1956	184	Salem/Oak Hill	1958/184	1975/238	2002/220	2018/215				
Breth	COB	Olean	Giles		1939			1950	78	1975	71	1983	63	2002	23	2018	17								37.390846	-80.657269	33	1939			1950/78	1975/71	1983/63	2002/23	2018/17			
Breth	COB	Ceder Grove-Ruckersville	Greene		1897			1982	144	1999	69	2018	58												38.21057	-78.397365	34	1980	144	Eastern Mt. Carmel	1982/144	1999/69	2018/58					
Breth	COB	Crab Run	Hardy		1871			1950	166	1964	135	1975	132	2002	157	2018	152								38.848191	-78.892969	35	1944	159		1950/166	1964/135	1975/132	2002/157	2018/152			
Breth	BC	Bethlehem	Harrisonburg		1898			1950	69	1975	63	1980	69	1999	30										38.431924	-78.899219	36	1898			1950/69	1975/63	1980/69	1999/30				
Breth	COB	Bassett	Henry		1936			1950	263	1975	279	2002	212	2018	104										36.746838	-79.980279	37	1939	154	Mount Herman	1950/263	1975/279	2002/212	2018/104				
Breth	COB	Hiner	Highland		1899			1975	36	2002	39	2018	52												38.27137	-78.544787	38	1969	18		1975/36	2002/39	2018/52					
Breth	COB	Oakvale	Mercer Co., WV		1906			1925	30	1950	51	1975	60	2002	34	2018	32								37.316707	-80.929876	39	1906			1925/30	1950/51	1975/60	2002/34	2018/32			
Breth	COB	Spruce Run	Monroe		1876			1882	51	1883	15	1925	20	1950	128	1975	133	2002	163	2018	159				37.458488	-80.610307	40	1843	15		1882/51	1883/15	1925/20	1950/128	1975/133	2002/163	2018/159	
Breth	COB	Christiansburg	Montgomery		1910			1925	125	1950	326	1975	273	2002	205	2018	193								37.125993	-80.403995	41	1909			1925/125	1950/326	1975/273	2002/205	2018/193			
Breth	COB	Bethel	Nelson		1909			1925	13	1950	62	1975	95	2002	73	2018	69								37.676127	-78.861668	42	1909			1925/13	1950/62	1975/95	2002/73	2018/69			
Breth	COB	Leakes Chapel	Page		1906			1959	166	1975	181	1980	202	2002	277	2018	156								38.571556	-78.528418	43	1959	166		1959/166	1975/181	1980/202	2002/277	2018/156			
Breth	COB	New Hope	Patrick		1910			1975	114	2002	161	2018	200												36.788593	-80.175214	44	1957	101	Smith River	1975/114	2002/161	2018/200					
Breth																											45											
Breth		New Hope																									46											
Breth	COB	Durbin	Pocahontas, WV		1947			1999	50	2018	59														38.990549	-80.228181	47	1989		Pocohantas	1999/50	2018/59						
Breth	COB	Crab Orchard	Raleigh Co., WV		1857			1925	35	1950	170	1975	156	1999	133	2018	97								37.742533	-81.230739	48	1868	12		1925/35	1950/170	1975/156	1999/133	2018/97			
Breth	FGB	Clearbrook	Roanoke Co.					1982	83																37.19007	-79.937064	49	1907	10		1982/83							
Breth	COB	Central, Roanoke	Roanoke City		1924			1924	200	1950	506	1975	385	1999	240	2018	139								37.270075	-79.949095	50	1924	200		1924/200	1950/506	1975/385	1999/240	2018/139			
Breth	COB	Concord	Rockbridge		1926			1940	100	1950	66	1975	57	2002	52	2018	52								37.873626	-79.273944	51	1926			1940/100	1950/66	1975/57	2002/52	2018/52			
Breth	COB	Antioch, Woodstock	Shenandoah		1870			1925	150	1950	367	1975	150	1999	111	2018	309								38.875102	-78.547024	52	1827	12		1925/150	1950/367	1975/150	1999/111	2018/309			
Breth	COB	Staunton	Staunton		1903			1925	130	1950	375	1975	420	2002	390	2018	239								38.168041	-79.051514	53	1898			1925/130	1950/375	1975/420	2002/390	2018/239			
Breth	COB	Community Mission	Shenandoah		1964			1964	40	1976	146	2002	108	2018	132										38.893877	-78.607873	54	1976	146	Woodstock	1964/40	1976/146	2002/108	2018/132				
Breth	COB	Flat Rock	Shenandoah		1841			1925	220	1950	318	1970	351	1975	372	1980	404	2002	114	2018	26				38.703052	-78.735883	55	1782			1925/220	1950/318	1970/351	1975/372	1980/404	2002/114	2018/26	
Breth	BC	Maurertown (Shiloh)	Shenandoah		1897			1886	106	1950	232	1975	172	1999	147	2017	79								38.929934	-78.463455	56	1885	34		1886/106	1950/232	1975/172	1999/147	2017/79			
Breth	COB	Oak Hill (Powells Fort)	Shenandoah		1871			1925	52	1950	69	1975	70	1999	88	2018	62								38.843662	-78.417149	57	1901			1925/52	1950/69	1975/70	1999/88	2018/62			
Breth	COB	Palmyra Fellowship	Shenandoah		1890			1999	37	2002	30	2018	32												38.816593	-78.5664	58	1984		Flat Rock	1999/37	2002/30	2018/32					
Breth	COB	Pleasant View	Shenandoah		1875			1950	294	1975	80	1999	80	2018	81										38.79078	-78.660277	59	1911			1950/294	1975/80	1999/80	2018/81				
Breth	COB	Round Hill	Shenandoah		1880			1964	80	1972	77	2002	90	2018	95										38.950599	-78.433596	60	1957	64	Woodstock	1964/80	1972/77	2002/90	2018/95				
Breth	BC	Saint Luke	Shenandoah		1870			1950	43	1975	60	1980	88	1999	128	2017	103								38.903292	-78.581952	61	1883			1950/43	1975/60	1980/88	1999/128	2017/103			
Breth	COB	Salem	Shenandoah		1859			1925	104	1950	280	1972	108	2002	71	2018	43								39.057583	-78.231074	62	1858			1925/104	1950/280	1972/108	2002/71	2018/43			
Breth	COB	Valley Pike	Shenandoah		1877			1956	200	1975	246	1980	257	1999	253	2018	213								38.917833	-78.47218	63	1963		Woodstock	1956/200	1975/246	1980/257	1999/253	2018/213			
Breth	COB	Wakemans Grove	Shenandoah		1897			1975	183	1980	220	1999	283	2018	376										38.845866	-78.618445	64	1961	104	Flat Rock/Pl. View	1975/183	1980/220	1999/283	2018/376				
Breth	COB	Walkers Chapel	Shenandoah		1894			1975	107	1980	101	1999	97	2002	64	2018	67								38.766518	-78.652956	65	1974	107		1975/107	1980/101	1999/97	2002/64	2018/67			
Breth	BC	Waterbrook	Shenandoah		1988			1999	128																38.816601	-78.568427	66	1982	29	Maurertown	1999/128							
Breth	COB	First, Roanoke	Roanoke City		1894			1915	500	1925	325	1950	859	1975	421	2002	205	2018	178						37.289669	-79.968004	67	1893			1915/500	1925/325	1950/859	1975/421	2002/205	2018/178		
Breth	FGB	Ghent (First Brethren)	Roanoke City		1892			1982	286																37.264677	-79.968764	68	1892			1982/286							
Breth	COB	Hollins Road, Roanoke	Roanoke City		1916			1925	95	1950	364	1975	388	1999	151	2018	194								37.296479	-79.925633	69	1924	84		1925/95	1950/364	1975/388	1999/151	2018/194			
Breth	COB	Ninth Street, Roanoke	Roanoke City		1925			1925	100	1950	510	1975	390	1980	348	2002	238	2018	189						37.264542	-79.927131	70	1923	36		1925/100	1950/510	1975/390	1980/348	2002/238	2018/189		
Breth	FGB	Washington Heights	Roanoke City		1953			1982	90																37.292818	-79.999389	71	1951	16		1982/90							
Breth	COB	Williamson Road	Roanoke City		1950			1951	105	1975	420	1999	377	2018	250										37.30487	-79.944187	72	1949	104		1951/105	1975/420	1999/377	2018/250				
Breth	FGB	Fairlawn	Roanoke Co.		1947			1982	100																37.15347	-80.561153	73	1947	100		1982/100							
Breth	FGB	Garden City Bible Fellow.	Roanoke Co.		1955																				37.22976	-79.920978	74	1955	20									
Breth	FGB	Gospel	Roanoke Co.		1972			1982	52																37.20228	-79.984619	75	1964	20		1982/52							
Breth	COB	Green Hill	Roanoke Co.		1910			1925	125	1950	237	1975	186	2002	118	2018	122								37.272836	-80.106285	76	1917	100		1925/125	1950/237	1975/186	2002/118	2018/122			
Breth	COB	Masons Cove	Roanoke Co.		1920			1950	107	1975	156	2002	95	2018	31										37.371202	-80.068283	77	1941			1950/107	1975/156	2002/95	2018/31				
Breth	COB	Mount Union	Roanoke Co.		1894			1975	176	2002	80	2018	149												37.173236	-80.054125	78	1963	73		1975/176	2002/80	2018/149					
Breth	COB	Oak Grove, Roanoke	Roanoke Co.		1908			1925	100	1950	174	1975	261	2002	285	2018	346								37.230781	-80.015369	79	1923	100		1925/100	1950/174	1975/261	2002/285	2018/346			
Breth	FGB	Patterson Memorial	Roanoke Co.		1913			1982	188																37.338616	-79.926607	80	1913	12		1982/188							
Breth	COB	Peters Creek	Roanoke Co.		1845			1925	160	1950	231	1975	423	2002	225	2018	204								37.316281	-80.013728	81	1837			1925/160	1950/231	1975/423	2002/225	2018/204			
Breth	COB	Poages Mill	Roanoke Co.		1900			1925	75	1950	180	1975	325	2002	296	2018	98								37.199044	-80.054125	82	1923			1925/75	1950/180	1975/325	2002/296	2018/98			
Breth	COB	Red Hill	Roanoke Co.		1909			1950	144	1975	159	2002	88	2018	80										37.186004	-79.936133	83	1944	c. 90		1950/144	1975/159	2002/88	2018/80				
Breth	COB	Roanoke Summerdean	Roanoke Co.		1962			1970	130	1975	173	2002	227	2018	296										37.341028	-79.943077	84	1964	54		1970/130	1975/173	2002/227	2018/296				
Breth	COB	Vinton	Roanoke Co.		1909			1950	62	1975	163	2002	101	2018	75										37.282109	-79.908069	85	1949	45		1950/62	1975/163	2002/101	2018/75				
Breth	COB	New Hope	Pocohantas Co. WV		1930			1975	35	1998	73	2002	73	2018	125										38.326214	-79.898674	86	2002		Pocohantas	1975/35	1998/73	2002/73	2018/125				
Breth	COB	Pine Grove - Pocohantas	Pocohantas Co. WV		1938			1950	276	1975	178	1999	102	2018	55										37.509273	-80.999817	87	1938			1950/276	1975/178	1999/102	2018/55				
Breth	COB	Cedar Grove - Brandywine	Pendleton Co. WV		1885			1975	89	2002	59	2018	83												38.62484	-79.24476	88	1966	91		1975/89	2002/59	2018/83					
Breth	COB	Crummet Run	Pendleton Co. WV		1870			1925	208	1950	176	1975	42	2002	49	2018	49								38.51123	-79.32171	89	1897			1925/208	1950/176	1975/42	2002/49	2018/49			
Breth	COB	Friends Run	Pendleton Co. WV		1951			1975	141	2002	82	2018	82												38.651531	-79.330022	90	1980		Smith Creek	1975/141	2002/82	2018/82					
Breth	COB	North Fork Fellowship	Pendleton Co. WV		1921			1925	100	1950	128	1975	74	2002	128	2018	100								38.67095	-79.49116	91	1921		North Fork/1978	1925/100	1950/128	1975/74	2002/128	2018/100			
Breth	COB	Smith Creek Fellowship	Pendleton Co. WV		1893			1925	130	1950	355	1975	318	2002	62	2018	52								38.654544	-79.428069	92	1918		Smith Creek/1980	1925/130	1950/355	1975/318	2002/62	2018/52			
Breth	COB	Smith River	Patrick		1890			1925	150	1950	204	1975	114	2002	166	2018	162								36.777576	-80.249064	93	1890			1925/150	1950/204	1975/114	2002/166	2018/162			
Breth	COB	Luray	Page		1920			1956	190	1975	266	1999	141	2018	105										38.664598	-78.452362	94	1955	190	Mt. Zion	1956/190	1975/266	1999/141	2018/105				
Breth	COB	Mount Zion	Page		1872			1908	400	1925	500	1950	396	1975	233	2002	90	2018	103						38.632423	-78.456977	95	1850			1908/400	1925/500	1950/396	1975/233	2002/90	2018/103		
Breth	COB	Newport	Page		1896			1959	123	1975	303	2002	126	2018	106										38.574904	-78.599717	96	1959	123	Leakes Chapel	1959/123	1975/303	2002/126	2018/106				
Breth	COB	Rileyville	Page		1908			1929	114	1950	68	1975	44	2002	65	2018	102								38.764882	-78.387668	97	1927	114		1929/114	1950/68	1975/44	2002/65	2018/102			
Breth	COB	Good Shepherd	Montgomery		1989			1999	41	2002	37	2018	5												37.222829	-80.449137	98	1981	11		1999/41	2002/37	2018/5					
Breth	COB	Pulaski	Pulaski		1915			1925	20	1950	226	1975	266	2002	97	2018	72								37.05987	-80.748319	99	1921	20		1925/20	1950/226	1975/266	2002/97	2018/72			
Breth	COB	Collinsville	Henry		1959			1964	85	1975	142	2002	145	2018	153										36.723965	-79.919773	100	1959	57		1964/85	1975/142	2002/145	2018/153				
Breth	COB	Jones Chapel	Henry		1941			1944	42	1950	77	1975	135	2002	126	2018	76								36.768145	-79.876989	101	1941	22		1944/42	1950/77	1975/135	2002/126	2018/76			
Breth	COB	Mount Hermon	Henry		1892			1925	19	1950	187	1975	212	2002	159	2018	162								36.762499	-80.031955	102	1892			1925/19	1950/187	1975/212	2002/159	2018/162			
Breth	COB	First, Harrisonburg	Harrisonburg		1906			1925	275	1950	496	1975	669	1999	535	2018	346								38.448157	-78.880965	103	1909			1925/275	1950/496	1975/669	1999/535	2018/346			
Breth	COB	Mathias	Hardy		1844			1950	415	1975	315	2002	287	2018	279										38.875198	-78.862107	104	1943		Upper Lost River	1950/415	1975/315	2002/287	2018/279				
Breth	COB	Evergreen	Greene		1898			1962	267	1975	152	2002	140	2018	99										38.27137	-78.544787	105	1962	550	Mount Carmel	1962/267	1975/152	2002/140	2018/99				
Breth	COB	Shiloh (Greene)	Greene		1936			1999	44	2018	62														38.3836	-78.425123	106	1961		Mount Carmel	1999/44	2018/62						
Breth	COB	Meadow Mills	Frederick		1913			1975	232	2002	74	2018	74												39.023049	-78.305899	107	1959	175		1975/232	2002/74	2018/74					
Breth	BC	Oak Hill	Fayette Co. WV		1904			1950	129	1975	136	1980	153	1999	114	2017	96								37.974603	-81.14581	108	1902			1950/129	1975/136	1980/153	1999/114	2017/96			
Breth	COB	Pleasant View	Fayette Co. WV		1897			1925	146	1950	177	1975	100	2002	41	2018	50								38.043289	-81.097513	109	1860	7		1925/146	1950/177	1975/100	2002/41	2018/50			
Breth	COB	Fremont	Carroll		1921			1950	68	1971	31	1975	63	1999	47	2002	0								36.772746	-80.681195	110	1929			1950/68	1971/31	1975/63	1999/47	2002/disorg.			
Breth	COB	Stone, Buena Vista	Buena Vista		1909			1925	200	1950	324	1975	355	1999	184	2018	156								37.734841	-79.352743	111	1908			1925/200	1950/324	1975/355	1999/184	2018/156			
Breth	COB	Cloverdale	Botetourt		1913			1925	350	1950	387	1975	436	2002	229	2018	205								37.368291	-79.907738	112	1913	160	Old Valley	1925/350	1950/387	1975/436	2002/229	2018/205			
Breth	COB	Daleville	Botetourt		1902			1925	200	1950	312	1975	163	2002	172	2018	85								37.40875	-79.911817	113	1912			1925/200	1950/312	1975/163	2002/172	2018/85			
Breth	COB	Mount Bethel	Botetourt		1885			1955	51	1975	126	2002	39	2018	37										37.634615	-79.734729	114	1950	32	Mount Joy	1955/51	1975/126	2002/39	2018/37				
Breth	COB	Mount Joy	Botetourt		1883			1925	45	1950	49	1975	163	2002	55	2018	51								37.615772	-79.664943	115	1859	12		1925/45	1950/49	1975/163	2002/55	2018/51			
Breth	COB	Pleasant Dale	Botetourt		1916			1975	127	1980	121	2002	24	2018	11										37.497933	-79.951712	116	1961			1975/127	1980/121	2002/24	2018/11				
Breth	COB	Troutville	Botetourt		1890			1925	325	1950	521	1975	314	1999	189	2018	150								37.414708	-79.879138	117	1912		Botetourt	1925/325	1950/521	1975/314	1999/189	2018/150			
Breth	COB	Saunders Grove	Bedford		1893			1925	45	1950	80	1975	228	2002	77	2018	60								37.278559	-79.679578	118	1875			1925/45	1950/80	1975/228	2002/77	2018/60			
Breth	COB	Barren Ridge	Augusta		1856			1925	300	1950	240	1975	259	2002	251	2018	301								38.160264	-78.945714	119	1865			1925/300	1950/240	1975/259	2002/251	2018/301			
Breth	COB	Sunrise	Harrisonburg		2002			2018	116																38.433223	-78.882021	120	2002			2018/116							
Breth	COB	Bethel-Keezletown	Rockingham		1953			1999	140	2002	164	2018	211												38.497357	-78.730372	121	1987			1999/140	2002/164	2018/211					
Breth	BC	Liberty	Rockingham		1894			1950	32	1975	40	1980	31	1999	27	2017	25								38.704205	-78.680313	122	1894			1950/32	1975/40	1980/31	1999/27	2017/25			
Breth	COB	Melrose	Rockingham		1884			1999	109	1999	107	2002	104	2018	70										38.490526	-78.817876	123	1988		Greenmount/Mel. Grove	1999/109	1999/107	2002/104	2018/70				
Breth	COB	Mountain View Fellowship	Rockingham		2006			2002	20	2018	91														38.365114	-78.753791	124	2000			2002/20	2018/91						
Breth	BC	Mount Olive	Rockingham		1890			1950	349	1975	292	1980	145	1999	345	2017	673								38.342146	-78.795597	125	1884			1950/349	1975/292	1980/145	1999/345	2017/673			
Breth	COB	Stony Creek	Rockingham		1894			1975	104	2002	112	2018	113												38.830318	-78.7502	126	1980		Flat Rock	1975/104	2002/112	2018/113					
Breth	COB	Emmanuel	Augusta		1832			2002	238	2018	220														38.369535	-79.099548	127	1832		Beav. Crk/Sangerville	2002/238	2018/220						
Breth	COB	Trinity	Botetourt		1903			1975	88	1999	122	2018	48												37.453934	-79.895746	128	1954		Troutville	1975/88	1999/122	2018/48					
Breth	FGB	Troutville Grace Bible	Botetourt					1981	40	1982	46														37.431103	-79.845377	129				1981/40	1982/46						
Breth	FGB	Riner	Montgomery		1954			1982	34																37.025264	-80.434351	130		14		1982/34							
Breth	COB	Oronoco	Amherst					1950	143	1964	99	1975	86	2002	158	2018	78								37.743944	-79.271958	131	1919			1950/143	1964/99	1975/86	2002/158	2018/78			
Breth	COB	Saint Paul	Carroll		1889			1953	95	1975	80	1985	70	2002	37	2018	28								36.602226	-80.684978	132	1891			1953/95	1975/80	1985/70	2002/37	2018/28			
Breth	COB	Arbor Hill	Augusta		1926			1950	169	1960	348	1975	169	2002	40	2018	21								38.104368	-79.14699	133	1947	117		1950/169	1960/348	1975/169	2002/40	2018/21			
Breth	COB	Blue Ridge Chapel	Augusta		1940			1975	223	2002	217	2018	202												38.096373	-78.861282	134	1953	78	Waynesboro	1975/223	2002/217	2018/202					
Breth	COB	Elk Run	Augusta		1881			1925	180	1950	160	1975	112	2002	47	2018	56								38.279291	-79.137886	135	1880			1925/180	1950/160	1975/112	2002/47	2018/56			
Breth	COB	Forest Chapel	Augusta		1894			1950	109	1975	263	2002	151	2018	135										38.141319	-78.811513	136	1938	94		1950/109	1975/263	2002/151	2018/135				
Breth	COB	Grottoes	Augusta		1915			1955	129	1975	146	1999	109	2002	65	2018	75								38.257439	-78.821456	137	1951	29		1955/129	1975/146	1999/109	2002/65	2018/75			
Breth	COB	Lebanon	Augusta		1881			1925	162	1950	150	1975	206	2002	187	2018	176								38.254496	-79.012266	138	1908			1925/162	1950/150	1975/206	2002/187	2018/176			
Breth	COB	Little River	Augusta		1913			1950	238	1975	116	2002	126	2018	102										38.047854	-79.392737	139	1939	213		1950/238	1975/116	2002/126	2018/102				
Breth	COB	Middle River	Augusta		1824			1850	501	1925	300	1950	332	1971	238	1975	211	2002	264	2018	80				38.213596	-78.904784	140	1824			1850/over 500	1925/300	1950/332	1971/238	1975/211	2002/264	2018/80	
Breth	COB	Moscow	Augusta		1854			1925	110	1950	128	1975	116	2002	178	2018	103								38.313366	-79.083567	141	1870	110		1925/110	1950/128	1975/116	2002/178	2018/103			
Breth	COB	Mount Vernon	Augusta		1870			1925	240	1950	174	1975	190	2002	112	2018	106								38.041971	-78.995987	142	1866	60		1925/240	1950/174	1975/190	2002/112	2018/106			
Breth	COB	Pleasant Hill	Augusta		1892			1955	153	1975	142	2002	92	2018	94										38.183905	-78.841275	143	1951			1955/153	1975/142	2002/92	2018/94				
Breth	COB	Pleasant Valley	Augusta		1854			1925	290	1950	322	1975	371	1999	339	2018	409								38.279481	-78.903763	144	1865		Middle River	1925/290	1950/322	1975/371	1999/339	2018/409			
Breth	COB	Sangerville	Augusta		1880			1925	629	1950	672	1975	247	2002	105	2018	73								38.391219	-79.079211	145	1895		Beaver Creek	1925/629	1950/672	1975/247	2002/105	2018/73			
Breth	COB	Summit	Augusta		1874			1925	211	1950	192	1975	269	2002	134	2018	136								38.327001	-78.97642	146	1914			1925/211	1950/192	1975/269	2002/134	2018/136			
Breth	COB	White Hill	Augusta		1901			1929	140	1950	175	1975	167	2002	441	2018	391								38.03914	-79.060795	147	1925	110	Mt. Vernon	1929/140	1950/175	1975/167	2002/441	2018/391			
Breth	COB	Waynesboro	Waynesboro		1918			1925	140	1950	594	1975	585	2002	381	2018	141								38.078688	-78.875722	148	1925	140	Barren Ridge	1925/140	1950/594	1975/585	2002/381	2018/141			
Breth	COB	Iglesia Del Buen Pastor	Montgomery					2018	0																37.222829	-80.449137	149	2014			2018/0							
Breth	COB	Hiwassee	Pulaski		1941			1975	68	1986	34	1994	29	2002	40	2018	52								36.971813	-80.707756	150	1997	37	Pulaski	1975/68	1986/34	1994/29	2002/40	2018/52			
Breth	COB	Beaver Creek (Floyd)	Floyd		1897			1925	82	1950	142	1975	104	1980	131	1999	190	2018	215						36.950031	-80.374112	151	1900	118		1925/82	1950/142	1975/104	1980/131	1999/190	2018/215		
Breth	COB	Burks Fork	Floyd		1893			1925	104	1950	157	1975	51	2002	32	2018	48								36.810991	-80.441334	152	1892	60		1925/104	1950/157	1975/51	2002/32	2018/48			
